"","x","value","value.1","data1[, 3] * 10"
"450",50,-0.27732,0.00097656,0.0097656
"451",51,-0.43523,4.6258e-06,4.6258e-05
"452",52,-0.22363,6.5867e-07,6.5867e-06
"453",53,0.51409,0.00097656,0.0097656
"454",54,0.453,1.8166e-05,0.00018166
"455",55,-0.25084,0.00097656,0.0097656
"456",56,-0.13954,0.00016565,0.0016565
"457",57,-0.19824,0.00020611,0.0020611
"458",58,0.11904,0.00043524,0.0043524
"459",59,-1.0846,0.00097656,0.0097656
"460",60,-0.8781,0.00021244,0.0021244
"461",61,-0.8596,1.2743e-05,0.00012743
"462",62,-0.74217,1.466e-07,1.466e-06
"463",63,-0.82261,2.6197e-10,2.6197e-09
"464",64,0.21332,0.00097656,0.0097656
"465",65,0.30431,2.5806e-05,0.00025806
"466",66,-0.55953,0.00097656,0.0097656
"467",67,-0.67073,0.00016665,0.0016665
"468",68,-0.30647,0.00097656,0.0097656
"469",69,-0.52193,0.00016615,0.0016615
"470",70,0.37844,0.00097656,0.0097656
"471",71,0.13057,0.0051704,0.051704
"472",72,0.68129,0.00024053,0.0024053
"473",73,0.42881,0.00097656,0.0097656
"474",74,0.45188,2.9553e-07,2.9553e-06
"475",75,-1.3379,0.00097656,0.0097656
"476",76,-0.77818,0.0025271,0.025271
"477",77,-1.5475,0.12372,1.2372
"478",78,-1.8254,0.16649,1.6649
"479",79,-1.6464,0.1027,1.027
"480",80,-1.4257,0.12759,1.2759
"481",81,-0.87587,0.00097656,0.0097656
"482",82,-1.0074,0.00012814,0.0012814
"483",83,-1.2977,0.00013355,0.0013355
"484",84,-0.58811,0.00097656,0.0097656
"485",85,-1.6115,0.00097656,0.0097656
"486",86,-1.4993,0.00055439,0.0055439
"487",87,-1.2677,0.00015893,0.0015893
"488",88,-1.0919,0.00010281,0.0010281
"489",89,-1.25,0.00097656,0.0097656
"490",90,-1.2346,0.00049041,0.0049041
"491",91,-1.1264,0.00012366,0.0012366
"492",92,-1.3879,0.00022429,0.0022429
"493",93,-2.1334,0.00097656,0.0097656
"494",94,-2.2392,0.00037784,0.0037784
"495",95,-2.3779,3.7465e-05,0.00037465
"496",96,-2.3937,6.0818e-05,0.00060818
"497",97,-2.3301,3.9094e-05,0.00039094
"498",98,-2.9009,1.9624e-05,0.00019624
"499",99,-3.1781,4.5224e-07,4.5224e-06
"500",100,-3.1206,1.4131e-07,1.4131e-06
"501",1,-0.99606,0.00014155,0.0014155
"502",2,0.19943,0.00097656,0.0097656
"503",3,0.20943,1.751e-06,1.751e-05
"504",4,-0.060276,9.9192e-08,9.9192e-07
"505",5,-0.41306,0.00097656,0.0097656
"506",6,-0.50045,0.00063573,0.0063573
"507",7,-0.77577,0.00076088,0.0076088
"508",8,-0.67872,9.1993e-06,9.1993e-05
"509",9,1.1592,0.00097656,0.0097656
"510",10,0.46971,0.00062466,0.0062466
"511",11,-0.35032,0.00097656,0.0097656
"512",12,-0.33094,0.00029108,0.0029108
"513",13,-0.24388,9.1881e-05,0.00091881
"514",14,0.78047,0.00097656,0.0097656
"515",15,0.39118,0.00097656,0.0097656
"516",16,0.6206,4.1275e-05,0.00041275
"517",17,0.48598,0.00097656,0.0097656
"518",18,0.73979,2.9017e-06,2.9017e-05
"519",19,0.6347,2.1291e-09,2.1291e-08
"520",20,-0.11245,0.00097656,0.0097656
"521",21,-0.2666,4.1307e-05,0.00041307
"522",22,-0.20441,3.5067e-06,3.5067e-05
"523",23,0.38504,0.00097656,0.0097656
"524",24,0.43023,4.1063e-06,4.1063e-05
"525",25,0.83391,0.00097656,0.0097656
"526",26,0.85561,4.846e-08,4.846e-07
"527",27,0.75621,3.9034e-11,3.9034e-10
"528",28,1.0665,2.3717e-16,2.3717e-15
"529",29,-0.50342,0.00097656,0.0097656
"530",30,-0.80777,0.00033654,0.0033654
"531",31,-1.2235,0.00097656,0.0097656
"532",32,-1.0528,0.0010789,0.010789
"533",33,-0.38859,0.00097656,0.0097656
"534",34,-0.38514,0.00011996,0.0011996
"535",35,-0.4769,1.0713e-05,0.00010713
"536",36,-0.87237,3.9536e-07,3.9536e-06
"537",37,-1.2245,1.0446e-06,1.0446e-05
"538",38,-0.050971,0.00097656,0.0097656
"539",39,0.016336,5.8857e-06,5.8857e-05
"540",40,-0.13961,0.00097656,0.0097656
"541",41,-0.022093,3.1978e-05,0.00031978
"542",42,-0.43627,0.00097656,0.0097656
"543",43,-0.36228,0.00012734,0.0012734
"544",44,-0.38434,1.3947e-05,0.00013947
"545",45,-0.1831,5.9613e-07,5.9613e-06
"546",46,-0.81976,0.00097656,0.0097656
"547",47,-1.2006,0.001462,0.01462
"548",48,-0.99917,0.00030867,0.0030867
"549",49,-1.0109,0.00097656,0.0097656
"550",50,-0.80194,0.00097656,0.0097656
"551",51,-0.6594,1.6692e-06,1.6692e-05
"552",52,-0.58058,3.3832e-08,3.3832e-07
"553",53,0.51409,0.00097656,0.0097656
"554",54,0.68584,5.8608e-06,5.8608e-05
"555",55,-0.25084,0.00097656,0.0097656
"556",56,-0.2214,9.0137e-05,0.00090137
"557",57,-0.10409,6.3873e-06,6.3873e-05
"558",58,0.16385,3.8292e-06,3.8292e-05
"559",59,-0.18048,0.00097656,0.0097656
"560",60,-0.21072,0.00065974,0.0065974
"561",61,-0.17608,2.606e-05,0.0002606
"562",62,-0.1955,8.77e-07,8.77e-06
"563",63,-0.32869,7.3323e-08,7.3323e-07
"564",64,0.21332,0.00097656,0.0097656
"565",65,-0.23176,6.1958e-05,0.00061958
"566",66,-0.16548,0.00097656,0.0097656
"567",67,-0.38059,0.00098386,0.0098386
"568",68,-0.30647,0.00097656,0.0097656
"569",69,-0.60047,0.00019655,0.0019655
"570",70,-0.04674,0.00097656,0.0097656
"571",71,0.19225,0.00012037,0.0012037
"572",72,0.44372,1.0761e-06,1.0761e-05
"573",73,-0.48828,0.00097656,0.0097656
"574",74,-0.87171,0.0020747,0.020747
"575",75,-1.4347,0.00097656,0.0097656
"576",76,-1.6489,0.00056077,0.0056077
"577",77,-1.8279,0.00025829,0.0025829
"578",78,-1.8433,0.00012273,0.0012273
"579",79,-1.9258,0.00010043,0.0010043
"580",80,-1.8611,2.1006e-05,0.00021006
"581",81,-1.5944,0.00097656,0.0097656
"582",82,-1.3109,0.00030068,0.0030068
"583",83,-0.74583,0.0013606,0.013606
"584",84,-0.77922,0.00097656,0.0097656
"585",85,-1.6115,0.00097656,0.0097656
"586",86,-1.2164,0.001155,0.01155
"587",87,-1.5522,0.0018332,0.018332
"588",88,-1.3352,0.0012299,0.012299
"589",89,-1.25,0.00097656,0.0097656
"590",90,-1.1218,0.00051647,0.0051647
"591",91,-1.3067,0.00015354,0.0015354
"592",92,-1.1734,9.8321e-05,0.00098321
"593",93,-1.5399,0.00097656,0.0097656
"594",94,-0.83217,0.0028326,0.028326
